Kalendername,Land,Kategorie,Wettbewerb,API-Provider,API-Key-Provider,ICSId,LogoBytes,SubGroupOrder
Fussball/Italien/Serie B/Juve Stabia,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133696,,8
Fussball/Italien/Serie B/Mantova,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133845,,9
Fussball/Italien/Serie B/Modena,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133700,,10
Fussball/Italien/Serie B/Monza,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134270,,11
Fussball/Italien/Serie B/Padova,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,135950,,12
Fussball/Italien/Serie B/Palermo,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,138166,,13
Fussball/Italien/Serie B/Pescara,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133685,,14
Fussball/Italien/Serie B/Reggiana,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,137121,,15
Fussball/Italien/Serie B/Sampdoria,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133683,,16
Fussball/Italien/Serie B/Spezia,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133879,,17
Fussball/Italien/Serie B/Südtirol,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134654,,18
Fussball/Italien/Serie B/Venezia,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134234,,19
Fussball/Italien/Serie B/Virtus Entella,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134633,,20
Football/NFL/Arizona Cardinals,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134946,,1
Football/NFL/Atlanta Falcons,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134942,,2
Football/NFL/Baltimore Ravens,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134922,,3
Football/NFL/Buffalo Bills,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134918,,4
Football/NFL/Carolina Panthers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134943,,5
Football/NFL/Chicago Bears,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134938,,6
Football/NFL/Cincinnati Bengals,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134923,,7
Football/NFL/Cleveland Browns,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134924,,8
Football/NFL/Dallas Cowboys,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134934,,9
Football/NFL/Denver Broncos,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134930,,10
Football/NFL/Detroit Lions,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134939,,11
Football/NFL/Green Bay Packers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134940,,12
Football/NFL/Houston Texans,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134926,,13
Football/NFL/Indianapolis Colts,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134927,,14
Football/NFL/Jacksonville Jaguars,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134928,,15
Football/NFL/Kansas City Chiefs,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134931,,16
Football/NFL/Las Vegas Raiders,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134932,,17
Football/NFL/Los Angeles Chargers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,135908,,18
Football/NFL/Los Angeles Rams,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,135907,,19
Football/NFL/Miami Dolphins,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134919,,20
Football/NFL/Minnesota Vikings,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134941,,21
Football/NFL/New England Patriots,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134920,,22
Football/NFL/New Orleans Saints,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134944,,23
Football/NFL/New York Giants,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134935,,24
Football/NFL/New York Jets,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134921,,25
Football/NFL/Philadelphia Eagles,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134936,,26
Football/NFL/Pittsburgh Steelers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134925,,27
Football/NFL/San Francisco 49ers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134948,,28
Football/NFL/Seattle Seahawks,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134949,,29
Football/NFL/Tampa Bay Buccaneers,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134945,,30
Football/NFL/Tennessee Titans,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134929,,31
Football/NFL/Washington Commanders,United States,Sport,Football/NFL,TheSportsDB,THESPORTSDB_API_KEY,134937,,32
Basketball/NBA/Atlanta Hawks,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134880,,1
Basketball/NBA/Boston Celtics,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134860,,2
Basketball/NBA/Brooklyn Nets,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134861,,3
Basketball/NBA/Charlotte Hornets,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134881,,4
Basketball/NBA/Chicago Bulls,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134870,,5
Basketball/NBA/Cleveland Cavaliers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134871,,6
Basketball/NBA/Dallas Mavericks,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134875,,7
Basketball/NBA/Denver Nuggets,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134885,,8
Basketball/NBA/Detroit Pistons,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134872,,9
Basketball/NBA/Golden State Warriors,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134865,,10
Basketball/NBA/Houston Rockets,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134876,,11
Basketball/NBA/Indiana Pacers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134873,,12
Basketball/NBA/Los Angeles Clippers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134866,,13
Basketball/NBA/Los Angeles Lakers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134867,,14
Basketball/NBA/Memphis Grizzlies,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134877,,15
Basketball/NBA/Miami Heat,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134882,,16
Basketball/NBA/Milwaukee Bucks,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134874,,17
Basketball/NBA/Minnesota Timberwolves,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134886,,18
Basketball/NBA/New Orleans Pelicans,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134878,,19
Basketball/NBA/New York Knicks,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134862,,20
Basketball/NBA/Oklahoma City Thunder,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134887,,21
Basketball/NBA/Orlando Magic,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134883,,22
Basketball/NBA/Philadelphia 76ers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134863,,23
Basketball/NBA/Phoenix Suns,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134868,,24
Basketball/NBA/Portland Trail Blazers,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134888,,25
Basketball/NBA/Sacramento Kings,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134869,,26
Basketball/NBA/San Antonio Spurs,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134879,,27
Basketball/NBA/Toronto Raptors,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134864,,28
Basketball/NBA/Utah Jazz,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134889,,29
Basketball/NBA/Washington Wizards,United States,Sport,Basketball/NBA,TheSportsDB,THESPORTSDB_API_KEY,134884,,30
